"Action","FormID","ItemID","ColID","Width","VisInForm","VisualIndx","EditInForm","VisInExpnd","ExpandIndx","EditInEXP","Folded","UserSign","ExtDisable","ExtInvsbl","TPLId","TableName","ItemUID"
"UPSERT","139","130000331","U_SLD_Check","43","Y","3","Y","Y","3","Y","N","1","N","N","34","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","20","N","N","50","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","6","N","N","40","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","2","N","N","36","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","3","N","N","37","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","4","N","N","38","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","15","N","N","46","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","5","N","N","39","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","1","N","N","34","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","27","N","N","54","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","17","N","N","48","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","7","N","N","41","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","8","N","N","42","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","23","N","N","51","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","16","N","N","47","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","18","N","N","49","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","13","N","N","45","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","28","N","N","56","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","25","N","N","53","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","10","N","N","43","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","12","N","N","44","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","24","N","N","52","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","32","N","N","64","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","19","N","N","35","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","29","N","N","58","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Amount","156","Y","0","Y","Y","0","Y","N","30","N","N","60","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Sum","731","Y","3","Y","Y","3","Y","N","15","N","N","46","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Sum","731","Y","3","Y","Y","3","Y","N","27","N","N","54","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Sum","731","Y","3","Y","Y","3","Y","N","13","N","N","45","RDR1",""
"UPSERT","139","130000331","U_SLD_Dis_Sum","731","Y","3","Y","Y","3","Y","N","29","N","N","58","RDR1",""
